Net Status Report
Filename     : C:\Users\040602.AMER\Desktop\BD-Z7MB-7Z0X0,G-01-02\Design\Z7MB-7Z0X0-PCB-G.PcbDoc
Date         : 5/2/2018
Time         : 9:47:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    JX1_LVDS_7_P, Signal Layers Only, 1764.06mils
    JX1_LVDS_8_N, Signal Layers Only, 2115.131mils
    JX1_LVDS_8_P, Signal Layers Only, 2089.859mils
    JX1_LVDS_9_N, Signal Layers Only, 1871.683mils
    JX1_LVDS_9_P, Signal Layers Only, 1832.654mils
    JX1_SE_0, Signal Layers Only, 1362.352mils
    JX1_SE_1, Signal Layers Only, 673.439mils
    JX2_LVDS_0_N, Signal Layers Only, 2037.419mils
    JX2_LVDS_0_P, Signal Layers Only, 2037.844mils
    JX2_LVDS_10_N, Signal Layers Only, 1963.467mils
    JX2_LVDS_10_P, Signal Layers Only, 1976.571mils
    JX2_LVDS_11_N, Signal Layers Only, 1962.479mils
    JX2_LVDS_11_P, Signal Layers Only, 1942.936mils
    JX2_LVDS_12_N, Signal Layers Only, 2147.92mils
    JX2_LVDS_12_P, Signal Layers Only, 2150.867mils
    JX2_LVDS_13_N, Signal Layers Only, 2031.301mils
    JX2_LVDS_13_P, Signal Layers Only, 2011.634mils
    JX2_LVDS_14_N, Signal Layers Only, 2108.925mils
    JX2_LVDS_14_P, Signal Layers Only, 2105.22mils
    JX2_LVDS_15_N, Signal Layers Only, 2117.912mils
    JX2_LVDS_15_P, Signal Layers Only, 2069.457mils
    JX2_LVDS_16_N, Signal Layers Only, 2134.567mils
    JX2_LVDS_16_P, Signal Layers Only, 2150.573mils
    JX2_LVDS_17_N, Signal Layers Only, 2086.872mils
    JX2_LVDS_17_P, Signal Layers Only, 2106.506mils
    JX2_LVDS_18_N, Signal Layers Only, 2180.565mils
    JX2_LVDS_18_P, Signal Layers Only, 2179.432mils
    JX2_LVDS_19_N, Signal Layers Only, 1885.535mils
    JX2_LVDS_19_P, Signal Layers Only, 1873.431mils
    JX2_LVDS_1_N, Signal Layers Only, 2032.881mils
    JX2_LVDS_1_P, Signal Layers Only, 2058.182mils
    JX2_LVDS_20_N, Signal Layers Only, 2065.854mils
    JX2_LVDS_20_P, Signal Layers Only, 2052.774mils
    JX2_LVDS_21_N, Signal Layers Only, 1952.282mils
    JX2_LVDS_21_P, Signal Layers Only, 1950.431mils
    JX2_LVDS_22_N, Signal Layers Only, 2024.31mils
    JX2_LVDS_22_P, Signal Layers Only, 2024.684mils
    JX2_LVDS_23_N, Signal Layers Only, 2132.564mils
    JX2_LVDS_23_P, Signal Layers Only, 2173.354mils
    JX2_LVDS_2_N, Signal Layers Only, 2181.554mils
    JX2_LVDS_2_P, Signal Layers Only, 2179.236mils
    JX2_LVDS_3_N, Signal Layers Only, 2015.209mils
    JX2_LVDS_3_P, Signal Layers Only, 2011.703mils
    JX2_LVDS_4_N, Signal Layers Only, 2029.695mils
    JX2_LVDS_4_P, Signal Layers Only, 2107.642mils
    JX2_LVDS_5_N, Signal Layers Only, 2139.075mils
    JX2_LVDS_5_P, Signal Layers Only, 2121.517mils
    JX2_LVDS_6_N, Signal Layers Only, 1761.889mils
    JX2_LVDS_6_P, Signal Layers Only, 1761.463mils
    JX2_LVDS_7_N, Signal Layers Only, 1708.788mils
    JX2_LVDS_7_P, Signal Layers Only, 1657.448mils
    JX2_LVDS_8_N, Signal Layers Only, 1862.546mils
    JX2_LVDS_8_P, Signal Layers Only, 1877.092mils
    JX2_LVDS_9_N, Signal Layers Only, 1955.944mils
    JX2_LVDS_9_P, Signal Layers Only, 1965.673mils
    JX2_SE_0, Signal Layers Only, 1183.173mils
    JX2_SE_1, Signal Layers Only, 1205.963mils
    NetC11_2, Signal Layers Only, 456.013mils
    NetC221_2, Signal Layers Only, 478.539mils
    NetC224_1, Signal Layers Only, 242.745mils
    NetC225_1, Signal Layers Only, 257.694mils
    NetC24_1, Signal Layers Only, 285.473mils
    NetC26_1, Signal Layers Only, 861.732mils
    NetC4_1, Signal Layers Only, 53.122mils
    NetC60_1, Signal Layers Only, 78.364mils
    NetC61_1, Signal Layers Only, 80.375mils
    NetC63_1, Signal Layers Only, 73.322mils
    NetC64_1, Signal Layers Only, 81.978mils
    NetC65_1, Signal Layers Only, 88.678mils
    NetC66_2, Signal Layers Only, 4165.955mils
    NetC6_1, Signal Layers Only, 954.408mils
    NetC71_2, Signal Layers Only, 90mils
    NetC72_2, Signal Layers Only, 80mils
    NetC76_2, Signal Layers Only, 84.498mils
    NetC77_2, Signal Layers Only, 84.498mils
    NetC78_2, Signal Layers Only, 1534.152mils
    NetD11_3, Signal Layers Only, 336.021mils
    NetD3_1, Signal Layers Only, 1553.155mils
    NetD3_2, Signal Layers Only, 48.854mils
    NetD5_2, Signal Layers Only, 68.468mils
    NetJ2_4, Signal Layers Only, 314.515mils
    NetJ6_G3, Signal Layers Only, 135.968mils
    NetJP1_2, Signal Layers Only, 150mils
    NetJP2_2, Signal Layers Only, 147mils
    NetJP3_2, Signal Layers Only, 150mils
    NetJT8_2, Signal Layers Only, 209.772mils
    NetJX1_100, Signal Layers Only, 1644.238mils
    NetJX1_5, Signal Layers Only, 3420.137mils
    NetJX1_6, Signal Layers Only, 378.626mils
    NetJX1_97, Signal Layers Only, 2110.257mils
    NetJX1_98, Signal Layers Only, 1610.142mils
    NetJX1_99, Signal Layers Only, 1978.888mils
    NetJX2_9, Signal Layers Only, 2260.21mils
    NetL10_1, Signal Layers Only, 0mils
    NetL6_1, Signal Layers Only, 0mils
    NetL7_1, Signal Layers Only, 0mils
    NetL8_1, Signal Layers Only, 0mils
    NetL9_1, Signal Layers Only, 0mils
    NetNT1_2, Signal Layers Only, 1683.508mils
